"Variable","N","Mean","Std. Dev.","Pctl. 25","Pctl. 75","Sum"
"... Activities auxiliary to financial services and insurance activities","0","0%","","","",""
"... Real estate activities","0","0%","","","",""
"... Legal and accounting activities","0","0%","","","",""
"... Activities of head offices; management consultancy activities","0","0%","","","",""
"... Architectural and engineering activities; technical testing and analysis","0","0%","","","",""
"... Scientific research and development","0","0%","","","",""
"... Advertising and market research","0","0%","","","",""
"... Other professional, scientific and technical activities","0","0%","","","",""
"... Veterinary activities","0","0%","","","",""
"... Rental and leasing activities","0","0%","","","",""
"... Employment activities","0","0%","","","",""
"... Travel agency, tour operator and other reservation service and related activities","0","0%","","","",""
"... Security and investigation activities","0","0%","","","",""
"... Services to buildings and landscape activities","0","0%","","","",""
"... Office administrative, office support and other business support activities","0","0%","","","",""
"... Public administration and defence; compulsory social security","0","0%","","","",""
"... Education","0","0%","","","",""
"... Human health activities","0","0%","","","",""
"... Residential care activities","0","0%","","","",""
"... Social work activities without accommodation","0","0%","","","",""
"... Creative, arts and entertainment activities","322","78.155%","","","",""
"... Libraries, archives, museums and other cultural activities","0","0%","","","",""
"... Gambling and betting activities","0","0%","","","",""
"... Sports activities and amusement and recreation activities","0","0%","","","",""
"... Activities of membership organisations","0","0%","","","",""
"... Repair of computers and personal and household goods","4","0.971%","","","",""
"... Other personal service activities","6","1.456%","","","",""
"... Activities of households as employers of domestic personnel","0","0%","","","",""
"... Undifferentiated goods- and services-producing activities of private households for own use","0","0%","","","",""
"... Activities of extraterritorial organisations and bodies","0","0%","","","",""
