"Variable","N","Mean","Std. Dev.","Pctl. 25","Pctl. 75","Sum"
"... Occupations in agriculture, forestry, farming, and gardening","10","2.4%","","","",""
"... Occupations in production of raw materials and goods, and manufacturing","0","0%","","","",""
"... Occupations in construction, architecture, surveying and technical building services","100","24.3%","","","",""
"... Occupations in natural sciences, geography and informatics","0","0%","","","",""
"... Occupations in traffic, logistics, safety and security","81","19.7%","","","",""
"... Occupations in commercial services, trading, sales, the hotel business and tourism","0","0%","","","",""
"... Occupations in business organisation, accounting, law and administration","144","35%","","","",""
"... Occupations in health care, the social sector, teaching and education","0","0%","","","",""
"... Occupations in philology, literature, humanities, social sciences, economics, media, art, culture, and design","77","18.7%","","","",""
"... Military occupations","0","0%","","","",""
"EF114UG3","412","","","","",""
"... Occupations in agriculture, forestry, and farming","3","0.7%","","","",""
"... Occupations in gardening and floristry","7","1.7%","","","",""
"... Occupations in production and processing of raw materials, glass- and ceramic-making and -processing","0","0%","","","",""
"... Occupations in plastic-making and -processing, and wood-working and -processing","5","1.2%","","","",""
"... Occupations in paper-making and -processing, printing, and in technical media design","5","1.2%","","","",""
"... Occupations in metal-making and -working, and in metal construction","6","1.5%","","","",""
"... Technical occupations in machine-building and automotive industry","19","4.6%","","","",""
"... Occupations in mechatronics, energy electronics and electrical engineering","14","3.4%","","","",""
"... Occupations in technical research and development, construction, and production planning and scheduling","0","0%","","","",""
"... Occupations in textile- and leather-making and -processing","0","0%","","","",""
"... Occupations in food-production and -processing","21","5.1%","","","",""
"... Occupations in construction scheduling, architecture and surveying","0","0%","","","",""
"... Occupations in building construction above and below ground","0","0%","","","",""
"... Occupations in interior construction","18","4.4%","","","",""
"... Occupations in building services engineering and technical building services","0","0%","","","",""
"... Occupations in mathematics, biology, chemistry and physics","23","5.6%","","","",""
"... Occupations in geology, geography and environmental protection","0","0%","","","",""
"... Occupations in computer science, information and communication technology","0","0%","","","",""
"... Occupations in traffic and logistics (without vehicle driving)","0","0%","","","",""
"... Drivers and operators of vehicles and transport equipment","52","12.6%","","","",""
"... Occupations in safety and health protection, security and surveillance","0","0%","","","",""
"... Occupations in cleaning services","0","0%","","","",""
"... Occupations in purchasing, sales and trading","0","0%","","","",""
"... Sales occupations in retail trade","0","0%","","","",""
"... Occupations in tourism, hotels and restaurants","74","18%","","","",""
"... Occupations in business management and organisation","0","0%","","","",""
"... Occupations in financial services, accounting and tax consultancy","0","0%","","","",""
"... Occupations in law and public administration","88","21.4%","","","",""
"... Medical and health care occupations","0","0%","","","",""
"... Occupations in non-medical healthcare, body care, wellness and medical technicians","0","0%","","","",""
"... Occupations in education and social work, housekeeping, and theology","55","13.3%","","","",""
"... Occupations in teaching and training","0","0%","","","",""
"... Occupations in in philology, literature, humanities, social sciences, and economics","0","0%","","","",""
"... Occupations in advertising and marketing, in commercial and editorial media design","0","0%","","","",""
"... Occupations in product design, artisan craftwork, fine arts and the making of musical instruments","0","0%","","","",""
"... Occupations in the performing arts and entertainment","22","5.3%","","","",""
"... Armed forces personnel","0","0%","","","",""
"EF137UG1","412","","","","",""
"... Crop and animal production, hunting and related service activities","0","0%","","","",""
"... Forestry and logging","0","0%","","","",""
"... Fishing and aquaculture","0","0%","","","",""
"... Mining of coal and lignite","0","0%","","","",""
"... Extraction of crude petroleum and natural gas","0","0%","","","",""
"... Mining of metal ores","0","0%","","","",""
"... Other mining and quarrying","0","0%","","","",""
"... Mining support service activities","7","1.7%","","","",""
"... Manufacture of food products","0","0%","","","",""
"... Manufacture of beverages","0","0%","","","",""
"... Manufacture of tobacco products","0","0%","","","",""
"... Manufacture of textiles","0","0%","","","",""
"... Manufacture of wearing apparel","0","0%","","","",""
"... Manufacture of leather and related products","0","0%","","","",""
"... Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","0","0%","","","",""
"... Manufacture of paper and paper products","0","0%","","","",""
"... Printing and reproduction of recorded media","0","0%","","","",""
"... Manufacture of coke and refined petroleum products","0","0%","","","",""
"... Manufacture of chemicals and chemical products","0","0%","","","",""
"... Manufacture of basic pharmaceutical products and pharmaceutical preparations","0","0%","","","",""
"... Manufacture of rubber and plastic products","0","0%","","","",""
"... Manufacture of other non-metallic mineral products","0","0%","","","",""
"... Manufacture of basic metals","0","0%","","","",""
"... Manufacture of fabricated metal products, except machinery and equipment","0","0%","","","",""
"... Manufacture of computer, electronic and optical products","0","0%","","","",""
"... Manufacture of electrical equipment","0","0%","","","",""
"... Manufacture of machinery and equipment n.e.c.","0","0%","","","",""
"... Manufacture of motor vehicles, trailers and semi-trailers","65","15.8%","","","",""
"... Manufacture of other transport equipment","0","0%","","","",""
"... Manufacture of furniture","0","0%","","","",""
"... Other manufacturing","0","0%","","","",""
"... Repair and installation of machinery and equipment","0","0%","","","",""
"... Electricity, gas, steam and air conditioning supply","0","0%","","","",""
"... Water collection, treatment and supply","0","0%","","","",""
"... Sewerage","0","0%","","","",""
"... Waste collection, treatment and disposal activities; materials recovery","0","0%","","","",""
"... Remediation activities and other waste management services","8","1.9%","","","",""
"... Construction of buildings","0","0%","","","",""
"... Civil engineering","0","0%","","","",""
"... Specialised construction activities","0","0%","","","",""
"... Wholesale and retail trade and repair of motor vehicles and motorcycles","0","0%","","","",""
"... Wholesale trade, except of motor vehicles and motorcycles","0","0%","","","",""
"... Retail trade, except of motor vehicles and motorcycles","0","0%","","","",""
"... Land transport and transport via pipelines","0","0%","","","",""
"... Water transport","0","0%","","","",""
"... Air transport","0","0%","","","",""
"... Warehousing and support activities for transportation","0","0%","","","",""
"... Postal and courier activities","0","0%","","","",""
"... Accommodation","0","0%","","","",""
"... Food and beverage service activities","0","0%","","","",""
"... Publishing activities","0","0%","","","",""
"... Motion picture, video and television programme production, sound recording and music publishing activities","0","0%","","","",""
"... Programming and broadcasting activities","0","0%","","","",""
"... Telecommunications","0","0%","","","",""
"... Computer programming, consultancy and related activities","0","0%","","","",""
"... Information service activities","0","0%","","","",""
"... Financial service activities, except insurance and pension funding","0","0%","","","",""
"... Insurance, reinsurance and pension funding, except compulsory social security","0","0%","","","",""
"... Activities auxiliary to financial services and insurance activities","0","0%","","","",""
"... Real estate activities","0","0%","","","",""
"... Legal and accounting activities","0","0%","","","",""
"... Activities of head offices; management consultancy activities","0","0%","","","",""
"... Architectural and engineering activities; technical testing and analysis","0","0%","","","",""
"... Scientific research and development","0","0%","","","",""
"... Advertising and market research","0","0%","","","",""
"... Other professional, scientific and technical activities","0","0%","","","",""
"... Veterinary activities","0","0%","","","",""
"... Rental and leasing activities","0","0%","","","",""
"... Employment activities","0","0%","","","",""
"... Travel agency, tour operator and other reservation service and related activities","0","0%","","","",""
"... Security and investigation activities","0","0%","","","",""
"... Services to buildings and landscape activities","0","0%","","","",""
"... Office administrative, office support and other business support activities","0","0%","","","",""
"... Public administration and defence; compulsory social security","0","0%","","","",""
"... Education","0","0%","","","",""
"... Human health activities","0","0%","","","",""
"... Residential care activities","0","0%","","","",""
"... Social work activities without accommodation","0","0%","","","",""
"... Creative, arts and entertainment activities","322","78.2%","","","",""
"... Libraries, archives, museums and other cultural activities","0","0%","","","",""
"... Gambling and betting activities","0","0%","","","",""
"... Sports activities and amusement and recreation activities","0","0%","","","",""
"... Activities of membership organisations","0","0%","","","",""
"... Repair of computers and personal and household goods","4","1%","","","",""
"... Other personal service activities","6","1.5%","","","",""
"... Activities of households as employers of domestic personnel","0","0%","","","",""
"... Undifferentiated goods- and services-producing activities of private households for own use","0","0%","","","",""
"... Activities of extraterritorial organisations and bodies","0","0%","","","",""
