EF564,n_obs,EF952_sum,EF952_share_green_esco,EF952_share_brown_esco,EF952_share_green_esco_ess,EF952_share_brown_esco_ess,EF952_share_green_gtp,EF952_share_green_vona2018,EF952_share_green_jrc,EF952_share_brown_vona2018
1202,3,318.789,NA,NA,NA,NA,NA,NA,NA,NA
1204,4,399.993,NA,NA,NA,NA,NA,NA,NA,NA
1205,2,216.812,NA,NA,NA,NA,NA,NA,NA,NA
1302,2,167.914,NA,NA,NA,NA,NA,NA,NA,NA
1303,1,68.656,NA,NA,NA,NA,NA,NA,NA,NA
1304,3,282.89099999999996,NA,NA,NA,NA,NA,NA,NA,NA
1411,2,244.25,NA,NA,NA,NA,NA,NA,NA,NA
1412,5,509.457,NA,NA,NA,NA,NA,NA,NA,NA
1414,2,121.188,NA,NA,NA,NA,NA,NA,NA,NA
1415,1,119.193,NA,NA,NA,NA,NA,NA,NA,NA
1416,2,234.075,0,3.586138888888889,0,4.4137094017094025,0,0,0,11.475644444444445
1417,1,107.896,0,0,0,0,0,0,0,0
1501,2,228.032,NA,NA,NA,NA,NA,NA,NA,NA
1503,1,87.148,NA,NA,NA,NA,NA,NA,NA,NA
1504,3,288.96,NA,NA,NA,NA,NA,NA,NA,NA
1505,1,137.587,0,3.821861111111111,0,4.70382905982906,0,0,0,12.229955555555556
1601,3,186.47899999999998,NA,NA,NA,NA,NA,NA,NA,NA
1602,5,640.743,NA,NA,NA,NA,NA,NA,NA,NA
1603,5,409.516,NA,NA,NA,NA,NA,NA,NA,NA
1604,3,285.176,NA,NA,NA,NA,NA,NA,NA,NA
